Classifier,Method,Mean,Std,Min,Max,Range
Logistic Regression,Simple Split (10 times),0.9833333333333334,0.013608276348795441,0.9722222222222222,1.0,0.02777777777777779
SVM (RBF),Simple Split (10 times),0.9916666666666668,0.012729376930432895,0.9722222222222222,1.0,0.02777777777777779
KNN (k=5),Simple Split (10 times),0.9666666666666666,0.024216105241892643,0.9166666666666666,1.0,0.08333333333333337
Random Forest,Simple Split (10 times),0.9777777777777779,0.020786985482077462,0.9444444444444444,1.0,0.05555555555555558
Logistic Regression,5-Fold CV,0.9833333333333332,0.013608276348795441,0.9722222222222222,1.0,0.02777777777777779
SVM (RBF),5-Fold CV,0.9833333333333332,0.022222222222222233,0.9444444444444444,1.0,0.05555555555555558
KNN (k=5),5-Fold CV,0.9717460317460318,0.01807434048104221,0.9428571428571428,1.0,0.05714285714285716
Random Forest,5-Fold CV,0.9774603174603176,0.021299434518521104,0.9428571428571428,1.0,0.05714285714285716
