PC,variance_ratio,cumulative_variance
PC1,0.6348226710325638,0.6348226710325638
PC2,0.20539068872735222,0.8402133597599161
PC3,0.05874576940962887,0.8989591291695449
PC4,0.04540668965560878,0.9443658188251537
PC5,0.030505611495503383,0.974871430320657
