name,epochs,batch_size,lr,kernel_size,train_acc,test_acc,train_loss,test_loss,seconds
kernel_3,3,128,0.001,3,0.9687,0.9716,0.10275214177370072,0.08415629547983408,5.804102399997646
kernel_5,3,128,0.001,5,0.9749,0.9746,0.0803254858136177,0.07783714793175459,5.847678999998607
