name,epochs,batch_size,lr,kernel_size,train_acc,test_acc,train_loss,test_loss,seconds
lr_1e-3,3,128,0.001,3,0.9687,0.9716,0.10275214177370072,0.08415629547983408,5.676142800002708
lr_5e-4,3,128,0.0005,3,0.9561,0.9606,0.14837253885269164,0.12174048553407192,5.463316200010013
